horizon,mse,rmse,mae,mape,mdape,coverage
6 days,4083.065610907477,63.898870184906066,30.836016409415073,0.11287974709522987,0.09436358104433651,0.4605128205128205
7 days,3929.9122274114115,62.68901201495691,30.094438438788625,0.1168127383688313,0.09898540807894969,0.44
8 days,4962.729001222112,70.44663938912993,32.90612825003846,0.12428043360961111,0.1003838295561813,0.4133333333333334
9 days,5040.136120516124,70.99391608100038,32.909766630133674,0.12170464675013794,0.09898540807894969,0.41999999999999993
10 days,4864.031759095793,69.7426107849125,32.02777353499931,0.11568423461991023,0.09898540807894969,0.45333333333333325
11 days,4387.594108693939,66.23891687440201,31.870068325044684,0.12362627223410348,0.09898540807894969,0.4351515151515152
12 days,4896.109403257953,69.97220450477427,34.8228491452025,0.13666462153953302,0.11271765549073999,0.4311111111111111
13 days,4856.6748599257535,69.68984761014873,35.47891160292544,0.15180422664479082,0.10962575437869565,0.4256410256410257
14 days,4011.913627121172,63.33966866917739,34.369343580105074,0.1610300487844892,0.12040421889393542,0.39384615384615385
15 days,3899.0410727860904,62.44230194976872,35.0607344995371,0.1724942853751888,0.12507510096295874,0.37435897435897436
16 days,3988.124994644399,63.15160326265992,36.142019469829016,0.17644112194729264,0.12953764290769437,0.33999999999999997
17 days,4087.042403574548,63.92998047531806,36.69446016300272,0.17249217516381227,0.13271394385449378,0.3548717948717949
18 days,4652.552302813181,68.20962030984472,38.86215848122534,0.17639909536756296,0.13621596394194532,0.3377777777777778
19 days,5351.581032624486,73.15450110980517,40.94416193425151,0.16926697859761577,0.13271394385449378,0.35555555555555557
20 days,5342.163129461334,73.09010281468575,40.58097814895735,0.16203499291649243,0.13621596394194532,0.36399999999999993
21 days,4937.65718442753,70.26846507806707,38.55429232754516,0.16028496186784771,0.13686523865235808,0.3577777777777778
22 days,4942.045393575467,70.29968274164163,37.401670247534426,0.16070048242864812,0.1274553691485046,0.39487179487179486
23 days,5082.528716015411,71.29185588842117,36.602939557764834,0.15542282814956573,0.11473717464944921,0.4114285714285714
24 days,5167.376046839803,71.88446318113395,35.85505056435227,0.14642268114774906,0.10990814620700812,0.4194871794871795
25 days,5267.6670456314005,72.57869553547653,35.870850722060744,0.15138335675671605,0.11473717464944921,0.3854545454545455
26 days,6142.705599464512,78.3754145090443,37.869927582359246,0.156751478380847,0.11473717464944921,0.3696969696969697
27 days,6092.786138952129,78.05630108423104,37.560490504889835,0.15969392834390383,0.11473717464944921,0.35151515151515156
28 days,5555.455236738747,74.53492628787357,36.54473500046009,0.1699392580278341,0.14031416956628648,0.2943589743589744
29 days,6127.319866910444,78.27719889540276,38.625008815689675,0.18452047295363933,0.14469655235154583,0.26
30 days,6346.564596160411,79.66532869548968,39.35765526520538,0.1851116670257299,0.13566975661815647,0.25641025641025633
31 days,6068.580863184318,77.90109667510669,38.47603749426177,0.17780623569707635,0.13566975661815647,0.2690909090909091
32 days,5789.658803153967,76.08980748532596,38.08254922493925,0.18303587367090632,0.16107456504594841,0.24
33 days,5881.192397399074,76.68893269174552,38.952729358465895,0.18925230111797686,0.16746338068319708,0.21666666666666667
34 days,5914.2958304066815,76.9044591061317,39.23941726110981,0.18718849864737094,0.16254952903027287,0.22888888888888886
35 days,4997.754502866603,70.69479827304554,36.9664708584779,0.18501645772261086,0.16746338068319708,0.23487179487179488
36 days,4855.744241069062,69.68317042922962,36.9241402340198,0.18462954154828268,0.1684038697847962,0.23555555555555555
37 days,5128.062847308436,71.6104939747551,38.242969842695544,0.18858645729798823,0.178783631357881,0.23809523809523805
38 days,5700.680085542712,75.50284819490396,40.42117572374874,0.18569317553545112,0.16119148815148526,0.2544444444444444
39 days,7645.206205270594,87.43686982772539,46.686432818507576,0.18934854401286172,0.17917100825326943,0.26666666666666666
40 days,8797.164543857465,93.79320094685683,50.75758389773994,0.19634154964697914,0.1877615785283467,0.26666666666666666
41 days,8763.192296896119,93.61192390340089,50.971476785811355,0.1959664943113779,0.1850122041537095,0.2711111111111111
42 days,8382.744678220215,91.55733000814416,50.05550604414523,0.1999064738743911,0.19814359218839428,0.271111111111111
43 days,8893.962183063855,94.30780552565018,51.823761615688994,0.20278036589662624,0.20197052868253093,0.24410256410256417
44 days,8717.310611580817,93.3665390361066,52.16387622077097,0.20242888253097815,0.2118068570181003,0.22952380952380955
45 days,7965.9159653414,89.2519801760241,49.60656793983429,0.19344148208032985,0.20027633965508923,0.21333333333333332
46 days,8112.424674534582,90.06899952000457,50.31650009849017,0.1928661580629362,0.19932227925357998,0.18181818181818182
47 days,8908.251152037077,94.38353220788612,53.55845597791405,0.20214458646687128,0.17635232883104957,0.13777777777777778
48 days,8370.822492180523,91.49219907828494,52.05066048698683,0.20473163689312326,0.1764774528499216,0.14256410256410257
49 days,6980.590480300799,83.54992806879488,47.222852458899624,0.207216988845935,0.1764774528499216,0.16000000000000003
50 days,7321.004622359092,85.56286941401096,47.4729028429169,0.20888232703089285,0.17939572449089886,0.17523809523809525
51 days,7569.542638457822,87.00311855593351,48.54203349079758,0.21305052712625464,0.18236681426201412,0.2133333333333333
52 days,7576.731789302425,87.04442422868006,47.82167876704854,0.2087999977988173,0.18236681426201412,0.25222222222222224
53 days,8265.275386846282,90.91355997235111,49.35027025885764,0.20876375056014668,0.18236681426201412,0.24444444444444446
54 days,9245.89861900842,96.15559587984684,53.138227115621085,0.21687960566482503,0.19333242296306677,0.20606060606060606
